"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"AK","Healy Power Plant","6288","2","01-01-2021","0","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","1","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","2","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","3","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","4","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","5","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","6","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","7","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","8","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","9","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","10","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","11","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","12","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","13","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","14","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","15","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","16","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","17","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","18","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","19","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","20","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","21","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","22","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-01-2021","23","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-02-2021","0","1","50","","","","","","","","","","","","","","","8381","90988"
"AK","Healy Power Plant","6288","2","01-02-2021","1","1","50","","","","","","","","","","","","","","","8381","90988"
