Month,Year,Season,Rate,Starts
Apr,1972,Spring,7.29,119.8
May,1972,Spring,7.37,135.2
Jun,1972,Summer,7.37,131.9
Jul,1972,Summer,7.4,119.1
Aug,1972,Summer,7.4,131.3
Sep,1972,Fall,7.42,120.5
Oct,1972,Fall,7.42,117
Nov,1972,Fall,7.43,97.4
Dec,1972,Winter,7.44,73.2
Jan,1973,Winter,7.44,77.1
Feb,1973,Winter,7.44,73.6
Mar,1973,Spring,7.46,105.1
Apr,1973,Spring,7.54,120.5
May,1973,Spring,7.65,131.6
Jun,1973,Summer,7.73,114.8
Jul,1973,Summer,8.05,114.7
Aug,1973,Summer,8.5,106.8
Sep,1973,Fall,8.82,84.5
Oct,1973,Fall,8.77,86
Nov,1973,Fall,8.58,70.5
Dec,1973,Winter,8.54,46.8
Jan,1974,Winter,8.54,43.3
Feb,1974,Winter,8.46,57.6
Mar,1974,Spring,8.41,76.9
Apr,1974,Spring,8.58,102.2
May,1974,Spring,8.97,96.3
Jun,1974,Summer,9.09,99.3
Jul,1974,Summer,9.28,90.7
Aug,1974,Summer,9.59,79.8
Sep,1974,Fall,9.96,73.4
Oct,1974,Fall,9.98,69.5
Nov,1974,Fall,9.79,57.9
Dec,1974,Winter,9.62,41
Jan,1975,Winter,9.43,39.8
Feb,1975,Winter,9.1,40
Mar,1975,Spring,8.89,62.5
Apr,1975,Spring,8.82,77.8
May,1975,Spring,8.91,92.8
Jun,1975,Summer,8.89,90.3
Jul,1975,Summer,8.89,92.8
Aug,1975,Summer,8.94,90.7
Sep,1975,Fall,9.12,84.5
Oct,1975,Fall,9.22,93.8
Nov,1975,Fall,9.15,71.6
Dec,1975,Winter,9.1,55.6
Jan,1976,Winter,9.02,54
Feb,1976,Winter,8.81,72.6
Mar,1976,Spring,8.76,92.4
Apr,1976,Spring,8.73,107.8
May,1976,Spring,8.76,112.2
Jun,1976,Summer,8.85,119.6
Jul,1976,Summer,8.93,112.8
Aug,1976,Summer,9,112.8
Sep,1976,Fall,8.98,108
Oct,1976,Fall,8.92,109.1
Nov,1976,Fall,8.81,89.4
Dec,1976,Winter,8.79,71.6
Jan,1977,Winter,8.72,55.7
Feb,1977,Winter,8.67,87.2
Mar,1977,Spring,8.69,125.8
Apr,1977,Spring,8.75,138.8
May,1977,Spring,8.83,152.2
Jun,1977,Summer,8.86,149.1
Jul,1977,Summer,8.94,138.2
Aug,1977,Summer,8.94,140.5
Sep,1977,Fall,8.9,131.6
Oct,1977,Fall,8.92,135.4
Nov,1977,Fall,8.92,109.3
Dec,1977,Winter,8.96,87.1
Jan,1978,Winter,9.01,63.3
Feb,1978,Winter,9.14,72.8
Mar,1978,Spring,9.2,121.4
Apr,1978,Spring,9.35,139.9
May,1978,Spring,9.57,154.9
Jun,1978,Summer,9.71,154.3
Jul,1978,Summer,9.74,139.3
Aug,1978,Summer,9.78,140
Sep,1978,Fall,9.76,124.6
Oct,1978,Fall,9.86,131.1
Nov,1978,Fall,10.11,110.4
Dec,1978,Winter,10.35,81.4
Jan,1979,Winter,10.39,57.5
Feb,1979,Winter,10.41,59.3
Mar,1979,Spring,10.43,109.8
Apr,1979,Spring,10.5,121.2
May,1979,Spring,10.69,131.2
Jun,1979,Summer,11.04,134.5
Jul,1979,Summer,11.09,117.8
Aug,1979,Summer,11.09,119.4
Sep,1979,Fall,11.3,105.7
Oct,1979,Fall,11.64,107.9
Nov,1979,Fall,12.83,72
Dec,1979,Winter,12.9,57.8
Jan,1980,Winter,12.88,49.3
Feb,1980,Winter,13.04,49.9
Mar,1980,Spring,15.28,51.7
Apr,1980,Spring,16.32,61.5
May,1980,Spring,14.26,64.9
Jun,1980,Summer,12.71,76.9
Jul,1980,Summer,12.19,85.6
Aug,1980,Summer,12.56,92
Sep,1980,Fall,13.2,95
Oct,1980,Fall,13.79,97.5
Nov,1980,Fall,14.21,71.2
Dec,1980,Winter,14.79,56.6
Jan,1981,Winter,14.9,48
Feb,1981,Winter,15.13,48
Mar,1981,Spring,15.4,70.5
Apr,1981,Spring,15.58,83.6
May,1981,Spring,16.4,73.8
Jun,1981,Summer,16.7,72.5
Jul,1981,Summer,16.83,69.5
Aug,1981,Summer,17.28,57
Sep,1981,Fall,18.16,58.3
Oct,1981,Fall,18.45,49.9
Nov,1981,Fall,17.82,40.1
Dec,1981,Winter,16.95,34.1
Jan,1982,Winter,17.48,29.3
Feb,1982,Winter,17.6,32.5
Mar,1982,Spring,17.16,51.8
Apr,1982,Spring,16.89,55.8
May,1982,Spring,16.68,58.9
Jun,1982,Summer,16.7,63.5
Jul,1982,Summer,16.82,61.4
Aug,1982,Summer,16.27,62
Sep,1982,Fall,15.43,63.3
Oct,1982,Fall,14.61,66.3
Nov,1982,Fall,13.82,66
Dec,1982,Winter,13.62,51.8
Jan,1983,Winter,13.25,56.3
Feb,1983,Winter,13.04,60.4
Mar,1983,Spring,12.8,86.2
Apr,1983,Spring,12.78,93.2
May,1983,Spring,12.63,114.9
Jun,1983,Summer,12.87,114.2
Jul,1983,Summer,13.43,100.4
Aug,1983,Summer,13.81,109.9
Sep,1983,Fall,13.73,97.2
Oct,1983,Fall,13.54,91.9
Nov,1983,Fall,13.44,81.9
Dec,1983,Winter,13.42,61
Jan,1984,Winter,13.37,67.7
Feb,1984,Winter,13.23,81
Mar,1984,Spring,13.39,87.8
Apr,1984,Spring,13.65,106.4
May,1984,Spring,13.94,115.2
Jun,1984,Summer,14.42,111
Jul,1984,Summer,14.67,97.9
Aug,1984,Summer,14.47,91.9
Sep,1984,Fall,14.35,90.5
Oct,1984,Fall,14.13,91.9
Nov,1984,Fall,13.64,80
Dec,1984,Winter,13.18,62.8
Jan,1985,Winter,13.08,59.3
Feb,1985,Winter,12.92,63.4
Mar,1985,Spring,13.17,92.6
Apr,1985,Spring,13.2,108.7
May,1985,Spring,12.91,107.5
Jun,1985,Summer,12.22,101.7
Jul,1985,Summer,12.03,105.6
Aug,1985,Summer,12.19,99.5
Sep,1985,Fall,12.19,89.9
Oct,1985,Fall,12.14,104.7
Nov,1985,Fall,11.78,73.4
Dec,1985,Winter,11.26,66
Jan,1986,Winter,10.89,72
Feb,1986,Winter,10.71,65.1
Mar,1986,Spring,10.08,97
Apr,1986,Spring,9.94,118.4
May,1986,Spring,10.15,126.1
Jun,1986,Summer,10.69,124.9
Jul,1986,Summer,10.51,113.5
Aug,1986,Summer,10.2,109.4
Sep,1986,Fall,10.01,102.5
Oct,1986,Fall,9.98,100.9
Nov,1986,Fall,9.7,77.5
Dec,1986,Winter,9.32,72.2
Jan,1987,Winter,9.2,69.2
Feb,1987,Winter,9.08,71.8
Mar,1987,Spring,9.04,100.4
Apr,1987,Spring,9.83,118.3
May,1987,Spring,10.6,114.1
Jun,1987,Summer,10.54,114.1
Jul,1987,Summer,10.28,111.5
Aug,1987,Summer,10.33,100.7
Sep,1987,Fall,10.89,109.1
Oct,1987,Fall,11.26,96.6
Nov,1987,Fall,10.65,79.3
Dec,1987,Winter,10.64,61.2
Jan,1988,Winter,10.38,55.8
Feb,1988,Winter,9.89,64
Mar,1988,Spring,9.93,99.9
Apr,1988,Spring,10.2,106.1
May,1988,Spring,10.46,104
Jun,1988,Summer,10.46,113.6
Jul,1988,Summer,10.43,100.3
Aug,1988,Summer,10.6,101.4
Sep,1988,Fall,10.48,91.7
Oct,1988,Fall,10.3,97.7
Nov,1988,Fall,10.27,81.2
Dec,1988,Winter,10.61,65.7
Jan,1989,Winter,10.73,69.9
Feb,1989,Winter,10.65,59.3
Mar,1989,Spring,11.03,83.5
Apr,1989,Spring,11.05,100.4
May,1989,Spring,10.77,101.4
Jun,1989,Summer,10.2,100.3
Jul,1989,Summer,9.88,98
Aug,1989,Summer,9.99,91.7
Sep,1989,Fall,10.13,82.4
Oct,1989,Fall,9.95,91.2
Nov,1989,Fall,9.77,71.9
Dec,1989,Winter,9.74,53.4
Jan,1990,Winter,9.9,67.9
Feb,1990,Winter,10.2,65.9
Mar,1990,Spring,10.27,83.2
Apr,1990,Spring,10.37,90
May,1990,Spring,10.48,92.4
Jun,1990,Summer,10.16,88.9
Jul,1990,Summer,10.04,85.5
Aug,1990,Summer,10.1,75.6
Sep,1990,Fall,10.18,71.9
Oct,1990,Fall,10.17,75.6
Nov,1990,Fall,10.01,54.9
Dec,1990,Winter,9.67,43.1
Jan,1991,Winter,9.64,39.2
Feb,1991,Winter,9.37,46.1
Mar,1991,Spring,9.5,61.4
Apr,1991,Spring,9.5,82.8
May,1991,Spring,9.47,84.5
Jun,1991,Summer,9.62,86.8
Jul,1991,Summer,9.58,87.4
Aug,1991,Summer,9.24,78.7
Sep,1991,Fall,9.01,73.7
Oct,1991,Fall,8.86,80.9
Nov,1991,Fall,8.71,62.6
Dec,1991,Winter,8.5,56.3
Jan,1992,Winter,8.43,58.4
Feb,1992,Winter,8.76,69.2
Mar,1992,Spring,8.94,90.9
Apr,1992,Spring,8.85,93.5
May,1992,Spring,8.67,100.2
Jun,1992,Summer,8.51,102.7
Jul,1992,Summer,8.13,93.2
Aug,1992,Summer,7.98,91.8
Sep,1992,Fall,7.92,91.4
Oct,1992,Fall,8.09,96.1
Nov,1992,Fall,8.31,74.8
Dec,1992,Winter,8.21,67.9
Jan,1993,Winter,7.99,62.8
Feb,1993,Winter,7.68,65.5
Mar,1993,Spring,7.5,84.9
Apr,1993,Spring,7.46,104.4
May,1993,Spring,7.47,109.2
Jun,1993,Summer,7.42,110.1
Jul,1993,Summer,7.21,100.4
Aug,1993,Summer,7.11,108.3
Sep,1993,Fall,6.91,100.6
Oct,1993,Fall,6.83,105.5
Nov,1993,Fall,7.16,90.6
Dec,1993,Winter,7.17,83.3
Jan,1994,Winter,7.07,67.2
Feb,1994,Winter,7.15,70.8
Mar,1994,Spring,7.68,114.6
Apr,1994,Spring,8.32,114.3
May,1994,Spring,8.6,122.3
Jun,1994,Summer,8.4,117.6
Jul,1994,Summer,8.61,110.4
Aug,1994,Summer,8.51,110.1
Sep,1994,Fall,8.64,105.2
Oct,1994,Fall,8.93,101.3
Nov,1994,Fall,9.17,87.8
Dec,1994,Winter,9.2,76.8
Jan,1995,Winter,9.15,63.6
Feb,1995,Winter,8.83,65.3
Mar,1995,Spring,8.46,85.3
Apr,1995,Spring,8.32,93.9
May,1995,Spring,7.96,102.3
Jun,1995,Summer,7.57,100.5
Jul,1995,Summer,7.61,102
Aug,1995,Summer,7.86,108.5
Sep,1995,Fall,7.64,97.7
Oct,1995,Fall,7.48,101.5
Nov,1995,Fall,7.38,82
Dec,1995,Winter,7.2,73.7
Jan,1996,Winter,7.03,68.9
Feb,1996,Winter,7.08,74.2
Mar,1996,Spring,7.62,96.9
Apr,1996,Spring,7.93,117.9
May,1996,Spring,8.07,111.6
Jun,1996,Summer,8.32,115
Jul,1996,Summer,8.25,109.1
Aug,1996,Summer,8,115.6
Sep,1996,Fall,8.23,99.3
Oct,1996,Fall,7.92,101
Nov,1996,Fall,7.62,82.6
Dec,1996,Winter,7.6,68.9
Jan,1997,Winter,7.82,66.6
Feb,1997,Winter,7.65,75.1
Mar,1997,Spring,7.9,96.1
Apr,1997,Spring,8.14,109.5
May,1997,Spring,7.94,106.2
Jun,1997,Summer,7.69,108.8
Jul,1997,Summer,7.5,107.4
Aug,1997,Summer,7.48,98.8
Sep,1997,Fall,7.43,108.3
Oct,1997,Fall,7.29,99.2
Nov,1997,Fall,7.21,83.7
Dec,1997,Winter,7.1,73.9
Jan,1998,Winter,6.99,72.3
Feb,1998,Winter,7.04,78.9
Mar,1998,Spring,7.13,107.2
Apr,1998,Spring,7.14,117.3
May,1998,Spring,7.14,114.4
Jun,1998,Summer,7,128.7
Jul,1998,Summer,6.95,120.5
Aug,1998,Summer,6.92,115.1
Sep,1998,Fall,6.72,112.4
Oct,1998,Fall,6.71,113.5
Nov,1998,Fall,6.87,101.3
Dec,1998,Winter,6.74,89.8
Jan,1999,Winter,6.79,80.4
Feb,1999,Winter,6.81,86.9
Mar,1999,Spring,7.04,119.9
Apr,1999,Spring,6.92,115.5
May,1999,Spring,7.15,126.5
Jun,1999,Summer,7.55,124.8
Jul,1999,Summer,7.63,120.2
Aug,1999,Summer,7.94,117.4
Sep,1999,Fall,7.82,109.6
Oct,1999,Fall,7.85,112.8
Nov,1999,Fall,7.74,100.6
Dec,1999,Winter,7.91,87.9
Jan,2000,Winter,8.21,78.6
Feb,2000,Winter,8.33,87.8
Mar,2000,Spring,8.24,111.8
Apr,2000,Spring,8.15,118.8
May,2000,Spring,8.52,122.6
Jun,2000,Summer,8.29,115.6
Jul,2000,Summer,8.15,105.4
Aug,2000,Summer,8.03,113.6
Sep,2000,Fall,7.91,101.5
Oct,2000,Fall,7.8,108.2
Nov,2000,Fall,7.75,88.8
Dec,2000,Winter,7.38,78.2
Jan,2001,Winter,7.03,83.9
Feb,2001,Winter,7.05,85.6
Mar,2001,Spring,6.95,104.3
Apr,2001,Spring,7.08,122.2
May,2001,Spring,7.15,125.8
Jun,2001,Summer,7.16,125.8
Jul,2001,Summer,7.13,120.5
Aug,2001,Summer,6.95,115.4
Sep,2001,Fall,6.82,105.2
Oct,2001,Fall,6.62,110.3
Nov,2001,Fall,6.66,90.6
Dec,2001,Winter,7.07,83.6
Jan,2002,Winter,7,84.7
Feb,2002,Winter,6.89,99.1
Mar,2002,Spring,7.01,109.5
Apr,2002,Spring,6.99,122.2
May,2002,Spring,6.81,133.7
Jun,2002,Summer,6.65,130.1
Jul,2002,Summer,6.49,125.2
Aug,2002,Summer,6.29,111.4
Sep,2002,Fall,6.09,124
Oct,2002,Fall,6.11,118.8
Nov,2002,Fall,6.07,102.6
Dec,2002,Winter,6.05,97.2
Jan,2003,Winter,5.92,95.9
Feb,2003,Winter,5.84,88.1
Mar,2003,Spring,5.75,120.1
Apr,2003,Spring,5.81,128.2
May,2003,Spring,5.48,133.7
Jun,2003,Summer,5.23,144.4
Jul,2003,Summer,5.63,142.8
Aug,2003,Summer,6.26,132.2
Sep,2003,Fall,6.15,137
Oct,2003,Fall,5.95,141.6
Nov,2003,Fall,5.93,121
Dec,2003,Winter,5.88,114.1
Jan,2004,Winter,5.71,99.5
Feb,2004,Winter,5.64,102.1
Mar,2004,Spring,5.45,143.5
Apr,2004,Spring,5.83,149.9
May,2004,Spring,6.27,159.1
Jun,2004,Summer,6.29,146.7
Jul,2004,Summer,6.06,152.5
Aug,2004,Summer,5.87,155.4
Sep,2004,Fall,5.75,132
Oct,2004,Fall,5.72,143.4
Nov,2004,Fall,5.73,111
