"Amount","DaysSinceStart","Industry","SuperIndustry","Internet","CZIP","MZIP","ID","Merchant","Distance"
14.06,33,"Family Apparel","Apparel and Accessories","No",10583,"10917",37783,"M20",26
4.99,409,"Grocery Stores","Grocery and Food Stores","No",10583,"10549",37783,"M29",13
19.53,311,"Home Improvement Centers","Home Improvement Centers","No",10583,"11710",37783,"M65",22
0.99,135,"Miscellaneous","Miscellaneous","Yes",10583,"98144",37783,"M155",2092
9.55,259,"Miscellaneous","Miscellaneous","Yes",10583,"98108",37783,"M155",2093
74.89,416,"Miscellaneous","Miscellaneous","Yes",10583,"98101",37783,"M155",2093
89.99,74,"Miscellaneous","Miscellaneous","Yes",10583,"98108",37783,"M155",2093
0.99,136,"Miscellaneous","Miscellaneous","Yes",10583,"98144",37783,"M155",2092
0.99,135,"Miscellaneous","Miscellaneous","Yes",10583,"98144",37783,"M155",2092
0.99,135,"Miscellaneous","Miscellaneous","Yes",10583,"98144",37783,"M155",2092
0.99,135,"Miscellaneous","Miscellaneous","Yes",10583,"98144",37783,"M155",2092
27.79,346,"Miscellaneous","Miscellaneous","Yes",10583,"98101",37783,"M155",2093
27.01,384,"Miscellaneous","Miscellaneous","Yes",10583,"98101",37783,"M155",2093
36.2,82,"Miscellaneous","Miscellaneous","Yes",10583,"98108",37783,"M155",2093
31,82,"Miscellaneous","Miscellaneous","Yes",10583,"98108",37783,"M155",2093
44.2,444,"Miscellaneous Apparel","Apparel and Accessories","No",10583,"10601",37783,"M161",3
10.25,373,"Family Apparel","Apparel and Accessories","No",10583,"10583",37783,"M169",0
106.25,268,"Family Apparel","Apparel and Accessories","No",10583,"10583",37783,"M169",0
24.71,367,"Family Apparel","Apparel and Accessories","No",10583,"10583",37783,"M169",0
49.93,85,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
49.93,54,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
49.93,146,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
53.15,389,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
53.15,327,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
53.15,297,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
53.15,450,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
95,362,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
53.15,358,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
53.15,419,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
49.93,115,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
49.93,207,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
49.93,23,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
49.92,238,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
53.15,266,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
49.93,176,"Insurance","Finance and Insurance","No",10583,"51401",37783,"M179",949
69.46,345,"Women's Apparel","Apparel and Accessories","No",10583,"10583",37783,"M209",0
782.76,303,"Computer / Software Stores","Consumer Electronics and Computers","Yes",10583,"94014",37783,"M216",2244
70,233,"Computer / Software Stores","Consumer Electronics and Computers","Yes",10583,"94014",37783,"M216",2244
1,233,"Computer / Software Stores","Consumer Electronics and Computers","Yes",10583,"94014",37783,"M216",2244
41.88,288,"Computer / Software Stores","Consumer Electronics and Computers","Yes",10583,"94014",37783,"M216",2244
1,288,"Computer / Software Stores","Consumer Electronics and Computers","Yes",10583,"94014",37783,"M216",2244
37.57,416,"Communications, Telecommunications, Cable Services","Information","No",10583,"10583",37783,"M253",0
4.55,350,"Eating Places","Accommodations and Food Services","No",10583,"11371",37783,"M260",13
13.48,399,"Eating Places","Accommodations and Food Services","No",10583,"10917",37783,"M260",26
62.54,290,"Eating Places","Accommodations and Food Services","No",10583,"06830",37783,"M331",8
