"bidtime","bidderrate","openbid","price","duration","bids"
6.997338,90,49.99,311.6,7,12
6.99978,116,9.99,139.3,7,31
6.979896,238,50,161,7,28
6.99978,2,1,61,7,27
6.999363,1,49.99,167.5,7,19
6.999919,5,75,100,7,6
6.989803,0,24.5,126,7,26
6.857407,3,9.99,306,7,42
6.935498,33,80,167.5,7,9
6.980231,2,5,132.5,7,26
6.99985,17,80,152.5,7,18
6.998368,1,9.99,142.5,7,28
6.995324,16,75,125,7,16
4.752164,0,50,112.5,7,5
6.968542,3,0.99,100.5,7,26
6.989757,NA,12.99,28,7,9
6.998877,4,50,157.5,7,17
6.810451,208,9.99,96,7,43
6.760208,2,40,102.5,7,10
6.851725,1,25,82.02,7,23
6.999549,21,29.99,127.51,7,22
6.913854,16,85,130,7,7
6.99875,25,75,125,7,9
6.914688,15,150,152.5,7,3
6.995058,0,0.99,177.5,7,21
6.999769,3,3,222.5,7,45
6.996759,0,0.99,81,7,24
6.871979,3,1,202.5,7,25
6.994086,158,80,81.99,7,2
6.731296,51,69.99,90,7,5
6.999769,1,0.01,114.5,7,35
6.997396,9,3,212.5,7,50
6.99985,71,49.99,133.04,7,20
6.806806,2,1,33,7,10
6.99912,0,0.01,132.55,7,57
6.997257,3,59.99,124.49,7,18
6.987812,0,0.01,204.11,7,22
6.952998,5,0.01,167.5,7,36
6.649907,0,1,47,7,13
6.941736,14,3,182.5,7,26
6.957697,2,2,33.1,7,19
6.990775,605,99,123.15,7,6
6.894051,132,10,41,7,8
6.999919,162,10,132.5,7,27
6.996007,0,0.99,122.5,7,20
6.565417,144,1,51,7,9
6.999699,26,50,117.5,7,18
6.98125,0,175,177.5,7,2
6.999803,69,60,102.5,7,15
6.999907,18,60,167.5,7,17
6.999931,2,59.99,127.5,7,19
6.54272,10,0.99,142.5,7,38
6.998958,0,70,247.5,7,23
6.999919,0,49.99,86,7,11
6.97478,1,50,102.5,7,12
6.962326,8,10,49,7,19
5.205637,0,89,127.5,7,2
6.999664,222,20,132.52,7,36
6.912708,1,1,127.5,7,23
6.939468,15,0.99,116.5,7,25
6.999711,253,1.99,105,7,24
6.996713,156,5,142.73,7,30
6.999769,9,0.01,405,7,17
6.964664,1,9.99,100,7,26
6.999896,13,0.99,96,7,15
6.994942,5,79.99,122.5,7,15
6.845775,25,125,144,7,4
6.999803,34,49,120,7,20
6.979213,9,39.99,89,7,23
6.999803,297,85,202,7,12
6.999977,6,0.99,385,7,38
6.999942,9,89,177.5,7,17
6.459931,3,80,96,7,4
6.99963,44,19.99,204.5,7,22
6.999965,3,0.99,117.5,7,44
6.999803,17,0.99,265,7,75
6.998715,4,9.99,112.5,7,7
5.6475,88,24.99,115.5,7,10
6.999861,19,100,183.56,7,13
6.971493,0,9.99,119.5,7,18
6.997176,7,75,105.01,7,9
6.999896,12,1,142.5,7,35
6.997674,2,24.99,104.09,7,19
6.996285,29,9.99,31,7,9
6.999583,20,29.99,120,7,16
6.999919,4,99,127.5,7,6
6.999965,265,1,40,7,16
6.999606,3,50,127.5,7,13
6.794491,0,40,150,7,20
6.713889,5,50,122.5,7,9
6.93934,19,55,122.5,7,22
6.994248,7,55,89.88,7,12
6.988831,268,0.01,90.01,7,21
2.998947,10,95,117.5,3,4
2.999722,17,1,120,3,22
2.997789,202,29.99,132.5,3,20
2.999236,4,1,114.5,3,21
2.961597,0,0.01,100,3,34
2.996748,16,40,90,3,12
2.704352,16,50,96.99,3,13
2.998831,8,100.16,127.5,3,5
2.963542,20,100.16,130,3,3
2.999514,2,49,141,3,22
2.999826,2,0.01,137.5,3,24
2.998229,16,99,132.55,3,10
2.919757,15,0.99,152,3,36
2.998275,1,9.99,96,3,25
2.999699,79,50,102.5,3,9
2.999398,40,60,63,3,3
2.855544,1,99.99,117.5,3,7
2.999919,1,65,82,3,6
2.999815,103,75,112.5,3,10
2.971597,2,0.95,93,3,19
2.99963,1,100,127.5,3,9
2.983542,0,0.1,207.5,3,15
2.853275,2,80,128.5,3,8
2.981319,0,0.01,86,3,16
2.999826,1,29.99,127.5,3,26
2.998067,68,75,140.5,3,12
2.990463,4,9.99,199,3,26
2.998542,4,0.99,122.5,3,35
2.87375,4,110,122.5,3,2
2.990741,1,0.99,91.01,3,28
2.999815,8,55,135.29,3,14
2.998437,0,50,150,3,20
2.999664,2,60,152.5,3,16
2.586493,16,0.99,61,3,11
2.973264,114,5,35.09,3,14
4.999873,6,70,152.5,5,8
4.035255,0,0.99,71,5,25
4.999583,9,150,501.77,5,32
4.71985,18,0.99,122.5,5,16
4.960174,12,49.99,147.76,5,21
4.990359,80,74.99,112.5,5,8
4.997674,10,0.01,106,5,23
4.99912,296,62.55,145,5,22
4.998009,0,62.55,122.5,5,14
4.991586,180,0.01,106.5,5,38
4.996296,0,100,151,5,6
4.896933,40,39.99,85,5,15
4.98765,0,70,112.5,5,19
4.998137,3,25,107.5,5,19
4.997905,11,59.99,152.5,5,21
4.60287,5,0.99,127.5,5,30
4.065359,4,0.99,127.5,5,19
4.939201,0,15,85.07,5,19
4.999583,3,0.99,122.5,5,18
4.999757,28,99.99,128.5,5,7
3.788009,8,99.99,132.5,5,13
