"Quality","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","chlorides"
"Low",8.1,0.27,0.41,1.45,11,63,0.9908,2.99,0.56,12,"Little"
"Low",8.6,0.23,0.4,4.2,17,109,0.9947,3.14,0.53,9.7,"Little"
"Low",7.9,0.18,0.37,1.2,16,75,0.992,3.18,0.63,10.8,"Little"
"High",6.6,0.16,0.4,1.5,48,143,0.9912,3.54,0.52,12.4,"Little"
"Low",8.3,0.42,0.62,19.25,41,172,1.0002,2.98,0.67,9.7,"Little"
"High",6.6,0.17,0.38,1.5,28,112,0.9914,3.25,0.55,11.4,"Little"
"High",6.2,0.66,0.48,1.2,29,75,0.9892,3.33,0.39,12.8,"Little"
"Low",6.5,0.31,0.14,7.5,34,133,0.9955,3.22,0.5,9.5,"Little"
"High",6.2,0.66,0.48,1.2,29,75,0.9892,3.33,0.39,12.8,"Little"
"High",6.4,0.31,0.38,2.9,19,102,0.9912,3.17,0.35,11,"Little"
"High",6.8,0.26,0.42,1.7,41,122,0.993,3.47,0.48,10.5,"Little"
"Low",7.6,0.67,0.14,1.5,25,168,0.9937,3.05,0.51,9.3,"Lots"
"High",7.2,0.32,0.36,2,37,114,0.9906,3.1,0.71,12.3,"Little"
"Low",5.8,0.27,0.2,14.95,22,179,0.9962,3.37,0.37,10.2,"Little"
"Low",7.3,0.28,0.43,1.7,21,123,0.9905,3.19,0.42,12.8,"Lots"
"Low",6.5,0.39,0.23,5.4,25,149,0.9934,3.24,0.35,10,"Lots"
"Low",7.3,0.24,0.39,17.95,45,149,0.9999,3.21,0.36,8.6,"Lots"
"Low",7.3,0.24,0.39,17.95,45,149,0.9999,3.21,0.36,8.6,"Lots"
"High",7.4,0.18,0.31,1.4,38,167,0.9931,3.16,0.53,10,"Lots"
"Low",6.2,0.45,0.26,4.4,63,206,0.994,3.27,0.52,9.8,"Lots"
"Low",6.2,0.46,0.25,4.4,62,207,0.9939,3.25,0.52,9.8,"Lots"
"Low",6.9,0.19,0.35,5,32,150,0.995,3.36,0.48,9.8,"Lots"
"High",6.6,0.25,0.29,1.1,39,124,0.9914,3.34,0.58,11,"Lots"
"High",6.2,0.16,0.33,1.1,21,82,0.991,3.32,0.46,10.9,"Lots"
"Low",7,0.47,0.07,1.1,17,151,0.991,3.02,0.34,10.5,"Little"
"Low",6.2,0.35,0.03,1.2,29,120,0.9934,3.22,0.54,9.1,"Lots"
"High",6.4,0.26,0.24,6.4,27,124,0.9903,3.22,0.49,12.6,"Little"
"Low",6.7,0.25,0.13,1.2,81,174,0.992,3.14,0.42,9.8,"Little"
"High",6.7,0.23,0.31,2.1,30,96,0.9926,3.33,0.64,10.7,"Little"
"Low",7.4,0.24,0.29,10.1,21,105,0.9962,3.13,0.35,9.5,"Lots"
"Low",6.8,0.3,0.23,4.6,50.5,238.5,0.9958,3.32,0.6,9.5,"Lots"
"Low",6,0.27,0.28,4.8,31,201,0.9964,3.69,0.71,10,"Lots"
"High",6.7,0.23,0.31,2.1,30,96,0.9926,3.33,0.64,10.7,"Little"
"Low",7.4,0.24,0.29,10.1,21,105,0.9962,3.13,0.35,9.5,"Lots"
"High",7.1,0.18,0.36,1.4,31,87,0.9898,3.26,0.37,12.7,"Little"
"High",7,0.32,0.34,1.3,20,69,0.9912,3.31,0.65,12,"Little"
"Low",7.4,0.18,0.3,8.8,26,103,0.9961,2.94,0.56,9.3,"Lots"
"Low",6.7,0.54,0.28,5.4,21,105,0.9949,3.27,0.37,9,"Lots"
"Low",7.1,0.34,0.2,6.1,47,164,0.9946,3.17,0.42,10,"Lots"
"Low",7.1,0.43,0.61,11.8,54,155,0.9974,3.11,0.45,8.7,"Little"
"Low",7.1,0.43,0.61,11.8,54,155,0.9974,3.11,0.45,8.7,"Little"
"Low",6.1,0.27,0.43,7.5,65,243,0.9957,3.12,0.47,9,"Little"
"High",6.9,0.24,0.33,1.7,47,136,0.99,3.26,0.4,12.6,"Little"
"High",6.9,0.21,0.33,1.8,48,136,0.9899,3.25,0.41,12.6,"Little"
"High",7.5,0.17,0.32,1.7,51,148,0.9916,3.21,0.44,11.5,"Little"
"High",8.6,0.265,0.36,1.2,15,80,0.9913,2.95,0.36,11.4,"Little"
"Low",9.8,0.36,0.46,10.5,4,83,0.9956,2.89,0.3,10.1,"Little"
"Low",7.4,0.25,0.37,13.5,52,192,0.9975,3,0.44,9.1,"Lots"
"Low",7.1,0.12,0.32,9.6,64,162,0.9962,3.4,0.41,9.4,"Lots"
"Low",6,0.21,0.24,12.1,55,164,0.997,3.34,0.39,9.4,"Lots"
"Low",7.5,0.305,0.4,18.9,44,170,1,2.99,0.46,9,"Lots"
"Low",7.4,0.25,0.37,13.5,52,192,0.9975,3,0.44,9.1,"Lots"
"Low",7.1,0.12,0.32,9.6,64,162,0.9962,3.4,0.41,9.4,"Lots"
"Low",6.9,0.33,0.28,1.3,37,187,0.9927,3.27,0.6,10.3,"Lots"
"Low",7.2,0.27,0.46,18.75,45,255,1,3.04,0.52,8.9,"Lots"
"Low",7.2,0.31,0.5,13.3,68,195,0.9982,3.01,0.47,9.2,"Lots"
"Low",6.7,0.41,0.34,9.2,29,150,0.9968,3.22,0.51,9.1,"Little"
"Low",6.7,0.41,0.34,9.2,29,150,0.9968,3.22,0.51,9.1,"Little"
"Low",5.5,0.485,0,1.5,8,103,0.994,3.63,0.4,9.7,"Lots"
"Low",7.2,0.31,0.5,13.3,68,195,0.9982,3.01,0.47,9.2,"Lots"
"Low",7.3,0.32,0.48,13.3,57,196,0.9982,3.04,0.5,9.2,"Lots"
"Low",5.9,0.36,0.04,5.7,21,87,0.9934,3.22,0.51,10.2,"Little"
"Low",7.8,0.24,0.32,12.2,42,138,0.9984,3.01,0.54,8.8,"Lots"
"Low",7.4,0.16,0.31,6.85,31,131,0.9952,3.29,0.34,9.7,"Lots"
"Low",7.4,0.39,0.23,7,29,126,0.994,3.14,0.42,10.5,"Little"
"High",6.5,0.24,0.32,7.6,48,203,0.9958,3.45,0.54,9.7,"Little"
"High",6.1,0.3,0.56,2.8,47,179,0.9924,3.3,0.57,10.9,"Little"
"Low",5.7,0.26,0.25,10.4,7,57,0.994,3.39,0.37,10.6,"Little"
"High",6.5,0.24,0.32,7.6,48,203,0.9958,3.45,0.54,9.7,"Little"
"Low",6.5,0.425,0.4,13.1,59,241,0.9979,3.23,0.57,9,"Little"
"Low",6.6,0.24,0.27,15.8,46,188,0.9982,3.24,0.51,9.2,"Little"
"Low",6.8,0.27,0.22,8.1,55,203,0.9961,3.19,0.52,8.9,"Little"
"Low",6.7,0.27,0.31,15.7,44,179,0.9979,3.26,0.56,9.6,"Little"
"Low",7.1,0.37,0.67,10.5,49,155,0.9975,3.16,0.44,8.7,"Little"
"High",6.8,0.19,0.36,1.9,30,96,0.9917,3.15,0.54,10.8,"Little"
"Low",6.3,0.31,0.34,2.2,20,77,0.9927,3.3,0.43,10.2,"Little"
"Low",7.1,0.37,0.67,10.5,49,155,0.9975,3.16,0.44,8.7,"Little"
"Low",6.4,0.595,0.14,5.2,15,97,0.9951,3.38,0.36,9,"Lots"
"High",6.3,0.34,0.33,4.6,19,80,0.9917,3.38,0.58,12,"Little"
"High",7.9,0.22,0.38,8,46,152,0.9934,3.12,0.32,11.5,"Little"
"Low",7.2,0.18,0.41,1.2,41,97,0.9919,3.14,0.45,10.4,"Little"
"High",6.1,0.32,0.24,1.5,38,124,0.9898,3.29,0.42,12.4,"Little"
"High",5.2,0.44,0.04,1.4,43,119,0.9894,3.36,0.33,12.1,"Little"
"High",5.2,0.44,0.04,1.4,43,119,0.9894,3.36,0.33,12.1,"Little"
"High",6.1,0.32,0.24,1.5,38,124,0.9898,3.29,0.42,12.4,"Little"
"Low",6.4,0.22,0.56,14.5,27,159,0.998,2.98,0.4,9.1,"Lots"
"Low",6.3,0.36,0.3,4.8,14,85,0.9932,3.28,0.39,10.6,"Little"
"Low",6.7,0.24,0.35,13.1,64,205,0.997,3.15,0.5,9.5,"Lots"
"Low",7,0.23,0.36,13,72,177,0.9972,3.16,0.49,9.8,"Lots"
"High",6.7,0.46,0.18,2.4,25,98,0.9896,3.08,0.44,12.6,"Little"
"Low",7.5,0.29,0.31,8.95,20,151,0.9968,3.08,0.54,9.3,"Lots"
"Low",9.8,0.42,0.48,9.85,5,110,0.9958,2.87,0.29,10,"Little"
"Low",7.6,0.48,0.37,0.8,4,100,0.9902,3.03,0.39,11.4,"Little"
"High",6.3,0.22,0.43,4.55,31,130,0.9918,3.35,0.33,11.5,"Little"
"Low",7.5,0.27,0.31,17.7,33,173,0.999,3.09,0.64,10.2,"Lots"
"Low",7.2,0.32,0.47,5.1,19,65,0.991,3.03,0.41,12.6,"Little"
"Low",5.9,0.23,0.3,12.9,57,170,0.9972,3.28,0.39,9.4,"Lots"
"Low",6,0.67,0.07,1.2,9,108,0.9931,3.11,0.35,8.7,"Lots"
"Low",7.1,0.34,0.15,1.2,61,183,0.9936,3.09,0.43,9.2,"Lots"
"Low",6.8,0.28,0.4,22,48,167,1.001,2.93,0.5,8.7,"Little"
"Low",6.8,0.26,0.56,11.9,64,226,0.997,3.02,0.63,9.3,"Little"
"Low",6.8,0.29,0.56,11.9,66,230,0.9972,3.02,0.63,9.3,"Little"
"Low",5.9,0.3,0.23,4.2,42,119,0.9924,3.15,0.5,11,"Little"
"High",6.8,0.53,0.35,3.8,26,109,0.9906,3.26,0.57,12.7,"Little"
"Low",6.5,0.28,0.28,8.5,54,210,0.9962,3.09,0.54,8.9,"Little"
"Low",6.8,0.28,0.4,22,48,167,1.001,2.93,0.5,8.7,"Little"
"Low",6.6,0.15,0.34,5.1,34,125,0.9942,3.36,0.42,9.6,"Lots"
"Low",6.4,0.29,0.44,3.6,75,181,0.9942,3.02,0.41,9.1,"Lots"
"Low",6.4,0.29,0.44,3.6,75,183,0.9942,3.01,0.38,9.1,"Lots"
