CustomerID,Reacquire,Lifetime2,LifetimeValue2,Lifetime1,Offer,Lapse,PriceChange,Gender,Age
1,Yes,766,1404.8996219,609,30,152,-8.97,Female,37
2,Yes,405,874.55678598,411,20,73,16.66,Male,32
3,No,0,-5,205,30,170,9.13,Male,54
4,Yes,623,1155.0059999,664,20,120,9.85,Female,69
5,No,0,-5,227,25,161,-42.15,Male,67
6,Yes,480,1056.8866693,617,25,102,31.02,Female,32
7,Yes,411,780.9344527,557,20,72,37.24,Female,60
8,Yes,645,1251.5172717,529,30,72,0,Female,47
9,No,0,-5,330,20,153,0,Female,66
10,Yes,1136,2060.0919814,741,25,112,-25.78,Male,35
11,No,0,-5,118,20,71,0,Female,51
12,Yes,374,880.64870026,435,30,110,17.23,Male,55
13,Yes,1335,2217.0017318,1085,25,44,0,Female,62
14,Yes,561,1010.3326914,164,30,12,-28.19,Male,51
15,Yes,1031,1726.466234,679,30,48,-17.04,Female,53
16,Yes,824,1466.097422,903,30,153,28.9,Female,39
17,Yes,762,1400.1428453,296,30,36,-30.11,Male,26
18,Yes,965,1635.0727276,911,25,150,0,Female,71
19,Yes,1059,1826.7205378,845,20,124,-11.08,Female,38
20,Yes,815,1300.4138259,749,20,108,16.3,Female,39
21,Yes,681,1198.502058,582,30,109,0,Male,69
22,No,0,-5,162,20,173,1.74,Male,29
23,No,0,-5,179,20,35,27.25,Female,55
24,Yes,938,1712.5014348,736,25,77,0,Female,41
25,No,0,-5,174,30,139,0,Male,52
26,No,0,-5,121,20,164,11.95,Male,41
27,Yes,707,1267.8479684,633,30,103,9.24,Female,33
28,Yes,696,1212.9800154,536,20,124,0,Male,30
29,No,0,-5,185,25,148,-18.99,Male,39
30,Yes,746,1454.7946754,532,30,119,-19.64,Female,58
31,Yes,961,1621.1929738,541,20,45,-37.44,Male,71
32,Yes,919,1436.7537235,662,20,46,0,Male,32
33,No,0,-5,439,20,132,0,Male,37
34,Yes,410,819.62651985,231,20,77,0,Male,30
35,No,0,-5,298,25,102,15.56,Female,57
36,Yes,708,1276.3251357,715,30,154,9.4,Female,63
37,No,0,-5,75,30,144,0,Female,63
38,No,0,-5,184,20,104,7,Male,74
39,No,0,-5,223,30,145,0,Female,73
40,Yes,1477,2465.2911907,1102,30,72,-9.68,Male,42
41,No,0,-5,292,30,148,-3.17,Female,63
42,No,0,-5,513,25,148,0,Female,51
43,Yes,671,1052.5607704,524,20,109,0,Female,50
44,No,0,-5,245,30,108,-14.58,Female,26
45,Yes,572,1073.1940493,584,30,127,18.78,Female,39
46,No,0,-5,118,20,36,0,Female,69
47,No,0,-5,194,20,44,-2.37,Male,69
48,Yes,1316,2136.7331156,1006,20,105,-20.46,Female,72
49,No,0,-5,310,20,162,0,Female,63
50,Yes,704,1195.7867058,734,20,16,39.44,Male,47
51,Yes,1032,1896.4219863,782,30,36,-10.53,Male,70
52,Yes,925,1615.8310973,827,25,198,0,Male,47
53,Yes,692,1264.8237296,500,25,101,0,Female,44
54,Yes,731,1385.3138552,559,30,69,0,Male,50
55,Yes,537,979.27863361,456,25,105,0,Female,49
56,No,0,-5,386,30,185,0,Female,47
57,Yes,500,1027.0239725,140,30,81,-28.47,Female,28
58,Yes,378,777.22569834,452,20,106,18.51,Female,43
59,Yes,803,1413.3038499,435,20,41,-27.12,Female,40
60,Yes,609,1059.6566971,478,25,107,0,Female,27
61,Yes,594,1124.631247,253,20,95,-27.78,Female,36
62,No,0,-5,584,20,141,0.56,Male,49
63,No,0,-5,183,25,73,0,Male,73
64,Yes,779,1353.2340485,662,25,85,0,Female,69
65,Yes,740,1397.2017285,598,20,131,-11.73,Male,51
66,Yes,1009,1764.583179,821,20,23,0,Female,70
67,No,0,-5,475,20,89,0,Female,47
68,No,0,-5,452,20,185,0,Male,38
69,Yes,858,1532.8654529,689,30,86,0,Male,48
70,No,0,-5,201,25,60,0,Female,66
71,No,0,-5,371,20,130,0,Female,74
72,No,0,-5,107,20,120,-4.51,Male,41
73,No,0,-5,283,20,129,12.23,Male,58
74,Yes,655,1353.6077428,562,20,74,1.48,Male,45
75,Yes,447,911.34423047,351,30,52,0,Female,54
76,No,0,-5,141,20,60,-21.32,Male,52
77,Yes,489,935.13360657,395,30,67,0,Female,69
78,Yes,1438,2366.4540588,1144,25,64,0,Male,43
79,Yes,125,535.71686307,192,30,118,18.07,Male,31
80,No,0,-5,341,20,38,-7.72,Female,69
81,Yes,820,1477.4917552,584,20,47,0,Male,30
82,Yes,1027,1704.4399843,761,30,51,0,Male,58
83,Yes,577,1109.9228647,503,20,56,0,Female,75
84,Yes,31,153.24177197,130,25,45,31.99,Female,56
85,Yes,509,1030.717971,357,25,63,0,Female,38
86,Yes,402,830.31863847,245,25,31,0,Male,38
87,Yes,286,624.65606315,424,20,29,38.32,Female,44
88,No,0,-5,149,25,126,4.19,Male,44
89,Yes,74,333.17986059,299,30,53,38.88,Male,71
90,Yes,910,1574.7337251,711,30,71,0,Male,47
91,Yes,1079,1782.4393893,818,20,79,0,Male,28
92,No,0,-5,314,20,156,-2.2,Female,68
93,No,0,-5,216,20,178,-30.52,Female,30
94,Yes,930,1631.750296,784,30,61,0,Female,70
95,Yes,695,1269.5470517,645,30,68,10.97,Male,70
96,No,0,-5,592,20,190,-3.86,Female,63
97,No,0,-5,349,20,108,16.33,Male,46
98,Yes,1147,2035.1276361,692,20,64,-34.13,Female,29
99,No,0,-5,308,20,96,0,Male,42
100,Yes,286,651.55219959,194,30,98,0,Female,45
101,Yes,439,998.03580538,310,30,65,0,Female,29
102,No,0,-5,105,30,51,0,Female,46
103,Yes,283,616.10103817,364,30,89,25.86,Male,41
104,No,0,-5,256,30,123,5.79,Female,30
105,Yes,834,1590.7591951,644,25,93,0,Male,31
106,No,0,-5,306,20,150,0,Male,46
107,Yes,475,959.40981956,351,30,51,0,Female,57
108,Yes,460,926.85640356,408,30,136,0,Female,62
109,No,0,-5,116,20,85,0,Female,39
110,Yes,416,975.90335587,326,30,53,0,Female,44
111,Yes,524,996.6468511,421,30,46,0.23,Male,64
112,No,0,-5,282,20,164,-26.75,Female,71
113,Yes,837,1458.0526017,638,25,108,-8.95,Female,64
114,No,0,-5,93,20,85,12.29,Male,71
115,Yes,551,927.9115166,419,30,98,0,Male,57
116,Yes,851,1567.0305806,486,20,86,-25.44,Female,29
117,Yes,430,778.73906378,376,25,51,11.3,Female,53
118,Yes,553,1172.9451506,333,30,165,-17.72,Male,38
