student_id,course_code,grade,semester
3237,ECON201,C,Fall 2024
44,PSYCH101,F,Spring 2024
489,CHEM101,F,Fall 2024
4277,MUS101,B+,Spring 2024
3149,SOC101,F,Spring 2024
4724,FIN201,B+,Fall 2024
957,POLI201,A,Spring 2024
2115,PSYCH101,A,Spring 2024
1116,SOC101,C+,Spring 2024
1782,MATH201,F,Spring 2024
2827,ACC101,B,Spring 2024
651,FIN201,C+,Fall 2024
1877,MUS101,A,Spring 2024
341,ECON201,C,Fall 2024
2951,MKT101,A,Spring 2024
3376,CS101,B,Spring 2024
2446,BIO101,C,Fall 2024
2751,ACC101,F,Spring 2024
2145,HIST101,C+,Spring 2024
1355,PHYS101,C+,Spring 2024
3277,POLI201,A,Spring 2024
449,MUS101,A,Fall 2024
4173,CHEM101,F,Fall 2024
4992,BUS201,D,Spring 2024
4645,CHEM101,C+,Fall 2024
798,ARCH101,F,Fall 2024
3497,POLI201,C+,Spring 2024
4911,MKT101,B+,Spring 2024
2183,SOC101,B,Fall 2024
3327,PSYCH101,B+,Fall 2024
646,ACC101,B+,Fall 2024
720,BIO101,C+,Fall 2024
1523,BIO101,D,Fall 2024
1070,MKT101,F,Fall 2024
4744,HIST101,F,Spring 2024
4888,CS101,B,Spring 2024
4675,LIT201,C+,Fall 2024
3076,MUS101,B+,Spring 2024
3808,MUS101,B+,Spring 2024
3362,BIO101,F,Fall 2024
2157,ART101,F,Fall 2024
4556,PSYCH101,C+,Fall 2024
2314,FIN201,A,Spring 2024
3506,HIST101,A,Fall 2024
4140,BIO101,C+,Spring 2024
633,BIO101,C,Spring 2024
2200,FIN201,C,Fall 2024
3064,MKT101,A,Spring 2024
2911,HIST101,B,Fall 2024
623,PHYS101,D,Fall 2024
361,BIO101,B+,Spring 2024
2368,BIO101,F,Fall 2024
210,ENG101,B,Fall 2024
3468,POLI201,F,Fall 2024
931,BUS201,A,Fall 2024
4585,ART101,C+,Fall 2024
3944,ARCH101,C,Fall 2024
4697,BIO101,A,Spring 2024
4870,PHYS101,B,Fall 2024
878,PSYCH101,B,Spring 2024
4796,ARCH101,D,Fall 2024
2500,HIST101,F,Fall 2024
2524,ARCH101,A,Spring 2024
4352,ACC101,B+,Spring 2024
392,BIO101,B,Fall 2024
3903,BUS201,B+,Fall 2024
2322,SOC101,B+,Spring 2024
4941,PHYS101,F,Spring 2024
3982,POLI201,C+,Spring 2024
139,ECON201,A,Spring 2024
103,PHIL101,A,Fall 2024
484,BIO101,B+,Spring 2024
4320,PHIL101,C+,Fall 2024
4074,PHYS101,B,Spring 2024
1849,MUS101,B,Fall 2024
1885,HIST101,A,Spring 2024
3206,SOC101,F,Fall 2024
2162,ECON201,F,Spring 2024
1465,CHEM101,B+,Spring 2024
644,ART101,C+,Spring 2024
3437,MUS101,C+,Spring 2024
4554,HIST101,B,Fall 2024
611,ARCH101,B,Spring 2024
4303,SOC101,F,Spring 2024
1544,CHEM101,C,Spring 2024
3540,POLI201,C,Fall 2024
1467,ACC101,B+,Fall 2024
917,FIN201,C,Spring 2024
1182,PHIL101,C+,Fall 2024
2147,SOC101,C,Fall 2024
2273,CS101,A,Fall 2024
852,MATH201,A,Spring 2024
4537,BIO101,D,Fall 2024
720,PHIL101,B,Fall 2024
4681,PHIL101,B,Spring 2024
2015,ACC101,F,Spring 2024
3473,HIST101,B+,Spring 2024
3643,ACC101,A,Fall 2024
3871,CS101,D,Spring 2024
64,PHYS101,B+,Fall 2024
4864,ART101,B+,Fall 2024
560,BUS201,F,Spring 2024
1734,PSYCH101,C,Spring 2024
670,FIN201,B,Spring 2024
3895,ART101,B+,Spring 2024
1543,HIST101,B+,Spring 2024
1272,MUS101,B,Spring 2024
2416,ECON201,F,Fall 2024
2792,PSYCH101,B,Spring 2024
4714,FIN201,A,Fall 2024
3055,ART101,B,Fall 2024
2459,MUS101,C,Fall 2024
3066,PHYS101,A,Fall 2024
1164,LIT201,F,Fall 2024
4560,POLI201,D,Fall 2024
2750,HIST101,B+,Spring 2024
1949,PHYS101,C,Fall 2024
60,MKT101,C,Fall 2024
3103,HIST101,A,Fall 2024
333,PHIL101,B+,Spring 2024
4172,ART101,A,Fall 2024
190,ENG101,C+,Fall 2024
3561,HIST101,C+,Spring 2024
296,BUS201,A,Spring 2024
2549,ACC101,B+,Spring 2024
177,CHEM101,F,Fall 2024
800,POLI201,B+,Spring 2024
806,BIO101,B,Spring 2024
1743,FIN201,F,Spring 2024
215,FIN201,C,Fall 2024
1880,BUS201,A,Spring 2024
2701,SOC101,F,Fall 2024
597,BIO101,C,Fall 2024
1718,ART101,F,Spring 2024
1356,PSYCH101,C,Fall 2024
4224,CHEM101,C+,Fall 2024
1293,BIO101,C+,Fall 2024
2599,ART101,D,Spring 2024
3438,CHEM101,F,Fall 2024
4715,HIST101,F,Spring 2024
142,PHYS101,A,Fall 2024
3217,HIST101,D,Spring 2024
2840,CHEM101,A,Fall 2024
4341,ACC101,B+,Fall 2024
3514,MKT101,A,Spring 2024
2751,PHIL101,F,Fall 2024
1715,SOC101,B+,Spring 2024
1136,FIN201,B+,Spring 2024
3722,MKT101,A,Fall 2024
1910,BUS201,B+,Spring 2024
2248,LIT201,C,Fall 2024
4517,PSYCH101,B+,Spring 2024
4103,PSYCH101,C,Spring 2024
1549,SOC101,C,Spring 2024
2640,PHYS101,C,Fall 2024
4767,HIST101,B,Fall 2024
4512,BUS201,D,Fall 2024
2832,LIT201,F,Fall 2024
1007,HIST101,B,Spring 2024
3222,ECON201,F,Fall 2024
3063,BIO101,F,Fall 2024
4524,HIST101,B+,Spring 2024
3053,PHIL101,D,Fall 2024
4430,MATH201,F,Fall 2024
2320,PSYCH101,D,Spring 2024
3540,ART101,D,Fall 2024
2367,SOC101,A,Fall 2024
527,BIO101,B+,Fall 2024
2808,ECON201,B,Fall 2024
1196,ENG101,D,Fall 2024
1754,CHEM101,F,Spring 2024
1673,SOC101,D,Fall 2024
2029,POLI201,F,Fall 2024
1655,SOC101,C+,Fall 2024
4550,ACC101,D,Fall 2024
4842,PHIL101,D,Fall 2024
4042,PSYCH101,C+,Fall 2024
848,ART101,B+,Fall 2024
