firmid,shutdown,newproduct,gender,age,education_college,num_clients,num_supplier,bankloan,round,polconnection,labor,part5revenue,material_cost,total_profit,total_fixedassets,wage_cost,type,lnlabor,lnpart5revenue,lnmaterial_cost,lnwage_cost,lnnum_supplier,lnnum_clients,firmage,baselabor,survey_town_type,treatratio_comp,post,tradecredit_supplier,tradecredit_client,otherloan_amount,retail,lnsales2,lnrent,ad_cost,rennovation,industry,newloan,stock_frequency,treatratio_lcomp,treatratio_lnoncomp,lcompnum,treatratio_nonlcomp,treatratio_nonlnoncomp,newsupplier,category,lnprice,stockmanage,shareeducl,coneval_squality,coneval_env,coneval_money,coneval_all,selleradvice,bankloan_amount,bankloan_interest,RCC_amount,flagatt,shutdownall,endatt,otherloan_end,allloan_end,aallloan_end,T50,C50,T80,C80,lnsalesdif,finknowledge,difficultyloan,shut_part5revenue,shut_total_profit,shut_labor,dummy_lcomp,dummy_lnoncomp,dummy_nonlcomp,dummy_nonlnoncomp,marketcategory,_Ibasecount_2,_Ibasecount_3,_Ibasecount_4,_Ibasecount_5,_Ibasecount_6,_Ibasecount_7,_Ibasecount_8,_Ibasecount_9,_Ibasecount_10,_Ibasecount_11,basecounty,survey_town
111,0,0,1,38,0,34,15,0,1,0,12,451,232.33,87.660004,0,22.79999971389771,1,2.4849067,6.1114674,5.4481587,3.1267605,2.7080503,3.5263605,5,12,2,.77142859,0,0,0,0,1,,3.8811855,0,0,1,0,,1,1,3,.7647059,.76744187,,4,1.0986123,,,,,,,,,,,0,0,1,0,0,,0,0,1,0,,,,451,87.660004,12,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
111,0,0,0,39,0,50,12,0,2,,15,618.90509,311.07999,128.58,.44999999,28.49999964237213,1,2.7080503,6.4279518,5.7400498,3.3499041,2.4849067,3.9120231,,12,2,.77142859,1,0,0,0,1,,.25927147,0,0,1,0,,1,1,3,.7647059,.76744187,,4,1.0986123,,,,,,,,,,,0,0,1,0,0,,0,0,1,0,,,,618.90509,128.58,15,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
111,0,0,0,41,0,17,13,0,3,,13,55.153999,26.5,16.5,56,24.69999969005585,1,2.5649493,4.0101295,3.2771447,3.2068033,2.5649493,2.8332133,,12,2,.77142859,1,1,0,0,1,3.9905081,0,0,0,1,0,2,1,1,3,.7647059,.76744187,0,4,1.0986123,1,,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,1,.2,.5,55.153999,16.5,13,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
112,0,0,0,22,0,12,3,1,1,0,9,80,24,27.15,6,17.09999978542328,1,2.1972246,4.3820267,3.1780539,2.8390784,1.0986123,2.4849067,6,9,2,.80000001,0,0,0,3,0,,.87546879,0,0,0,0,,.66666669,1,3,.875,.7669903,,4,1.6094379,,,2,3,2,3,1,3,8,,0,0,0,0,0,,0,0,1,0,,,,80,27.15,9,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
112,0,1,0,24,0,12,2,0,2,,7,76.912003,23.110001,29.110001,.89999998,12.60000050067902,1,1.9459101,4.3426619,3.1402655,2.5336969,.69314718,2.4849067,,9,2,.80000001,1,0,0,0,0,,.95241863,0,1,0,0,,.66666669,1,3,.875,.7669903,,4,1.6094379,,,2,3,2,3,1,,,,0,0,0,0,0,,0,0,1,0,,,,76.912003,29.110001,7,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
112,0,1,0,25,0,43,1,0,3,,9,391.64401,147.71001,179.50999,4.5,16.20000064373016,1,2.1972246,5.9703531,4.9952507,2.7850113,0,3.7612002,,9,2,.80000001,1,0,0,0,0,5.9897132,.93843246,0,1,0,0,1,.66666669,1,3,.875,.7669903,0,4,1.6094379,0,0,2,3,2,3,1,,,0,0,0,0,0,0,0,0,0,1,0,0,.60000002,.25,391.64401,179.50999,9,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
113,0,0,1,35,0,21,2,0,1,0,6,200,113,42.959999,3,10.80000042915344,1,1.7917595,5.2983174,4.7273879,2.3795462,.69314718,3.0445225,6,6,2,.77142859,0,0,0,0,1,,-.35667497,0,0,1,1,,1,0,4,.76119405,.77272725,,4,.69314718,,,3,2,2,3,0,,,42,0,0,0,0,1,42,0,0,1,0,,,,200,42.959999,6,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
113,0,0,,,,22,2,0,2,,5,209.00999,124.06,49.009998,0,9.49999988079071,1,1.6094379,5.342382,4.8207655,2.2512918,.69314718,3.0910425,,6,2,.77142859,1,0,0,0,1,,3.1913755,0,0,1,1,,1,0,4,.76119405,.77272725,,4,.69314718,,,3,2,2,3,0,,,42,0,0,0,0,1,42,0,0,1,0,,,,209.00999,49.009998,5,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
113,0,0,0,32,0,31,3,0,3,,5,301.70001,206.41,64.822998,3.75,9.49999988079071,1,1.6094379,5.7094331,5.3298645,2.2512918,1.0986123,3.4339871,,6,2,.77142859,1,1,0,0,1,5.6817265,1.6455659,0,0,1,1,.25,1,0,4,.76119405,.77272725,0,4,.69314718,1,0,3,2,2,3,0,,,42,0,0,0,0,1,42,0,0,1,0,0,.60000002,.5,301.70001,64.822998,5,0,1,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
114,0,0,0,30,0,40,1,0,1,1,12,280,120,78.959999,0,20.40000021457672,1,2.4849067,5.6347895,4.7874918,3.0155349,0,3.6888795,5,12,2,.77142859,0,0,0,0,1,,1.0986123,0,0,1,1,,1,1,3,.7647059,.76744187,,4,1.7917595,,,,,,,,,,44,0,0,1,1,1,65.002014,0,0,1,0,,,,280,78.959999,12,0,0,0,0,cloth and shoes,0,0,0,0,0,1,0,0,0,0,7,9
